epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.21860849857330322,12.58785343170166,1e-04,0.23689252138137817,12.024176597595215
1,0.23894113302230835,10.496530532836914,1e-04,0.2598850429058075,10.18017292022705
2,0.25208985805511475,8.571025848388672,1e-04,0.2590140998363495,7.835948944091797
3,0.25888192653656006,6.85664176940918,1e-04,0.2590140998363495,7.209268569946289
4,0.2677638530731201,5.463813304901123,1e-04,0.27329733967781067,5.513891220092773
5,0.27729883790016174,4.389312744140625,1e-04,0.2922835648059845,4.04539155960083
6,0.2907958924770355,3.5849714279174805,1e-04,0.29698657989501953,3.431204080581665
7,0.30786311626434326,3.0142643451690674,1e-04,0.31475353240966797,2.7983129024505615
8,0.33363810181617737,2.6101598739624023,1e-04,0.31492772698402405,2.48398494720459
9,0.36267849802970886,2.312346935272217,1e-04,0.3699703812599182,2.181617498397827
10,0.3947230875492096,2.102630853652954,1e-04,0.3802473545074463,2.129127264022827
11,0.41692790389060974,1.9427223205566406,1e-04,0.4368577003479004,1.8450580835342407
12,0.4414837956428528,1.8208116292953491,1e-04,0.45863088965415955,1.7664158344268799
13,0.4634709060192108,1.7336881160736084,1e-04,0.4065493941307068,1.7932220697402954
14,0.47561824321746826,1.6588667631149292,1e-04,0.4659467041492462,1.6604286432266235
15,0.4879397451877594,1.6115541458129883,1e-04,0.49904197454452515,1.5869064331054688
16,0.5003047585487366,1.5669887065887451,1e-04,0.48876503109931946,1.5965713262557983
17,0.5084030032157898,1.5220048427581787,1e-04,0.5119317173957825,1.52848482131958
18,0.5165882706642151,1.4897361993789673,1e-04,0.5293502807617188,1.4490537643432617
19,0.5264281034469604,1.4630370140075684,1e-04,0.5145444869995117,1.4875617027282715
20,0.531173825263977,1.4483909606933594,1e-04,0.5065319538116455,1.4716970920562744
21,0.5348310470581055,1.4258495569229126,1e-04,0.5450270175933838,1.3994088172912598
22,0.5407523512840271,1.4031389951705933,1e-04,0.5195958614349365,1.4702669382095337
23,0.5435388088226318,1.3947452306747437,1e-04,0.539104700088501,1.410182237625122
24,0.5473267436027527,1.3835147619247437,1e-04,0.5443302392959595,1.400492548942566
