epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.27512189745903015,12.518634796142578,1e-04,0.28653544187545776,11.818839073181152
1,0.36010971665382385,10.451386451721191,1e-04,0.3852987289428711,9.640291213989258
2,0.4059125781059265,8.582215309143066,1e-04,0.4509667158126831,7.696842193603516
3,0.44413965940475464,6.940940856933594,1e-04,0.4629855453968048,6.312565326690674
4,0.46956634521484375,5.5911688804626465,1e-04,0.5060093998908997,5.038084030151367
5,0.5054858922958374,4.5066609382629395,1e-04,0.5213377475738525,4.030497074127197
6,0.5291710495948792,3.674382448196411,1e-04,0.4974743127822876,3.4423837661743164
7,0.5483716726303101,3.0589468479156494,1e-04,0.5425884127616882,2.8397536277770996
8,0.5674852132797241,2.5886034965515137,1e-04,0.5598328113555908,2.4446887969970703
9,0.588035523891449,2.2349650859832764,1e-04,0.5612262487411499,2.193537950515747
10,0.6040142774581909,1.9849259853363037,1e-04,0.5694130063056946,1.9919527769088745
11,0.6303988099098206,1.778180480003357,1e-04,0.5526911616325378,1.944629192352295
12,0.6495559215545654,1.6301590204238892,1e-04,0.5915345549583435,1.751549482345581
13,0.6762017011642456,1.4872368574142456,1e-04,0.586309015750885,1.6853798627853394
14,0.7012364864349365,1.3623641729354858,1e-04,0.5927538871765137,1.6528446674346924
15,0.7205677628517151,1.278954267501831,1e-04,0.5789932012557983,1.7059603929519653
16,0.7447753548622131,1.1878536939620972,1e-04,0.6131336092948914,1.5816291570663452
17,0.7664576768875122,1.1009678840637207,1e-04,0.606514573097229,1.5809829235076904
18,0.7887930870056152,1.0345474481582642,1e-04,0.5962375998497009,1.6319864988327026
19,0.812478244304657,0.9662066102027893,1e-04,0.617836594581604,1.546783685684204
